sample_id,schedule_index,seed,horizon_chunks,mode,generated_local_frame,source_frame_index,rmse,mae,psnr,psnr_status
schedule0_TF_h3_seed2,0,2,3,TF,2,34,0.10618156422327821,0.05162583729598206,19.479017621989094,finite
schedule0_TF_h3_seed2,0,2,3,TF,3,35,0.112587301533564,0.056002713326887964,18.970211796246765,finite
schedule0_TF_h3_seed2,0,2,3,TF,4,36,0.13737361688936736,0.0654162238259038,17.241933342555885,finite
schedule0_TF_h3_seed2,0,2,3,TF,5,37,0.15361185007719497,0.07578615435434699,16.271505604758683,finite
schedule0_TF_h3_seed2,0,2,3,TF,6,38,0.1810408321235019,0.09271488144174118,14.844469257755177,finite
schedule0_TF_h3_seed2,0,2,3,TF,7,39,0.18648830271744185,0.09751457611020224,14.586968073308103,finite
schedule0_TF_h3_seed2,0,2,3,TF,8,40,0.19174956225395678,0.10103641473765161,14.345312376618278,finite
schedule0_TF_h3_seed2,0,2,3,TF,9,41,0.19407303657743388,0.10342293093125458,14.240695977349853,finite
schedule0_TF_h3_seed2,0,2,3,TF,10,42,0.20021189070832102,0.10806491936304734,13.970202661443887,finite
schedule0_TF_h3_seed2,0,2,3,TF,11,43,0.20530843879876803,0.11144514971307255,13.75186398887476,finite
schedule0_TF_h3_seed2,0,2,3,TF,12,44,0.21142821651579122,0.11541627318617505,13.49674107289328,finite
schedule0_TF_h3_seed2,0,2,3,TF,13,45,0.21524400344983505,0.11465231804608322,13.34137877703768,finite
schedule0_TF_h3_seed2,0,2,3,TF,14,46,0.21589941222702114,0.1082810992750775,13.314970800087853,finite
schedule0_TF_h3_seed2,0,2,3,TF,15,47,0.20114446840446656,0.09937897023245294,13.92983812583142,finite
schedule0_TF_h3_seed2,0,2,3,TF,16,48,0.16692214017627863,0.0807112912109839,15.549721113188177,finite
schedule0_AR_h3_seed2,0,2,3,AR,1,33,0.15157553080115146,0.08325170841473077,16.387418044758494,finite
schedule0_AR_h3_seed2,0,2,3,AR,2,34,0.15848629213584897,0.08619630103867355,16.000165900117977,finite
schedule0_AR_h3_seed2,0,2,3,AR,3,35,0.15576742654169884,0.08539844700179107,16.150467101718434,finite
schedule0_AR_h3_seed2,0,2,3,AR,4,36,0.16153333181191926,0.09062138141743266,15.834756980172218,finite
schedule0_AR_h3_seed2,0,2,3,AR,5,37,0.1586342977091534,0.0924921014938036,15.992058194657972,finite
schedule0_AR_h3_seed2,0,2,3,AR,6,38,0.18804564676629829,0.10961775543135843,14.514734319785997,finite
schedule0_AR_h3_seed2,0,2,3,AR,7,39,0.20553815436729458,0.11509688999280125,13.742150950882086,finite
schedule0_AR_h3_seed2,0,2,3,AR,8,40,0.23262256513980617,0.13311608895245067,12.666963191947271,finite
schedule0_AR_h3_seed2,0,2,3,AR,9,41,0.25104123830107583,0.13795755753678898,12.005098630496674,finite
schedule0_AR_h3_seed2,0,2,3,AR,10,42,0.2671534378561018,0.1478805059730277,11.46478465478879,finite
schedule0_AR_h3_seed2,0,2,3,AR,11,43,0.2656619618786334,0.1449056289760525,11.513412489425132,finite
schedule0_AR_h3_seed2,0,2,3,AR,12,44,0.23959866181781864,0.12749754776529207,12.410312237070224,finite
schedule0_AR_h3_seed2,0,2,3,AR,13,45,0.21006621703075878,0.11485295038495735,13.552875709312715,finite
schedule0_AR_h3_seed2,0,2,3,AR,14,46,0.22501054250931143,0.1207559288187691,12.955942664763214,finite
schedule0_AR_h3_seed2,0,2,3,AR,15,47,0.2187783932174814,0.11953230003032662,13.199911431943669,finite
schedule0_AR_h3_seed2,0,2,3,AR,16,48,0.20972571081349797,0.1150476440144909,13.56696649990045,finite
schedule0_TF_h4_seed3,0,3,4,TF,1,49,0.09422810130293725,0.039928460629139316,20.51639119662528,finite
schedule0_TF_h4_seed3,0,3,4,TF,2,50,0.10865677857946687,0.04675721244223988,19.27886349863577,finite
schedule0_TF_h4_seed3,0,3,4,TF,3,51,0.1133233105800796,0.05185333856761076,18.91361493335691,finite
schedule0_TF_h4_seed3,0,3,4,TF,4,52,0.1144028406890651,0.056513829270322447,18.831263832491192,finite
schedule0_TF_h4_seed3,0,3,4,TF,5,53,0.1191073278555702,0.06215916556658859,18.48123037079126,finite
schedule0_TF_h4_seed3,0,3,4,TF,6,54,0.1593007606018213,0.07775970019933709,15.955643011989256,finite
schedule0_TF_h4_seed3,0,3,4,TF,7,55,0.16617890647608397,0.07992473257205053,15.58848206379607,finite
schedule0_TF_h4_seed3,0,3,4,TF,8,56,0.19087223759324695,0.09353767495009653,14.385144704716046,finite
schedule0_TF_h4_seed3,0,3,4,TF,9,57,0.21182185726306257,0.10907764130239173,13.480584567387485,finite
schedule0_TF_h4_seed3,0,3,4,TF,10,58,0.24483206409318392,0.13103734427660166,12.222634120493085,finite
schedule0_TF_h4_seed3,0,3,4,TF,11,59,0.28621856559798453,0.16297970294169298,10.866043982087348,finite
schedule0_TF_h4_seed3,0,3,4,TF,12,60,0.29724992385346627,0.1729150198236411,10.537564959250085,finite
schedule0_TF_h4_seed3,0,3,4,TF,13,61,0.2951608808047725,0.17157680193764216,10.598824046492837,finite
schedule0_TF_h4_seed3,0,3,4,TF,14,62,0.2928020978612816,0.1690994797962683,10.66851631960116,finite
schedule0_TF_h4_seed3,0,3,4,TF,15,63,0.2864490349160175,0.16517841670664288,10.85905273212778,finite
schedule0_TF_h4_seed3,0,3,4,TF,16,64,0.2743323381108372,0.1583414007252486,11.234459900749725,finite
schedule0_AR_h4_seed3,0,3,4,AR,1,49,0.19265806676803504,0.10855474274392189,14.304256039326473,finite
schedule0_AR_h4_seed3,0,3,4,AR,2,50,0.1680733209961903,0.09758610497584168,15.490024370553787,finite
schedule0_AR_h4_seed3,0,3,4,AR,3,51,0.15803795885434208,0.0901631924341378,16.02477176204677,finite
schedule0_AR_h4_seed3,0,3,4,AR,4,52,0.15498836619531617,0.08542667423563206,16.194017996181184,finite
schedule0_AR_h4_seed3,0,3,4,AR,5,53,0.15121294791551446,0.08147201003687599,16.408220397925888,finite
schedule0_AR_h4_seed3,0,3,4,AR,6,54,0.1649157870461251,0.08569237074192888,15.654755365115564,finite
schedule0_AR_h4_seed3,0,3,4,AR,7,55,0.17011935145010104,0.0890943286870088,15.384925632513124,finite
schedule0_AR_h4_seed3,0,3,4,AR,8,56,0.16666245138426866,0.09048180038852394,15.563244691317184,finite
schedule0_AR_h4_seed3,0,3,4,AR,9,57,0.1671302901080541,0.09538634620348319,15.53889665926625,finite
schedule0_AR_h4_seed3,0,3,4,AR,10,58,0.16627998553265888,0.10054904809927241,15.583200439040139,finite
schedule0_AR_h4_seed3,0,3,4,AR,11,59,0.19176793483670207,0.11882658414299858,14.344480173511904,finite
schedule0_AR_h4_seed3,0,3,4,AR,12,60,0.2052777787595267,0.126086950200803,13.753161205908626,finite
schedule0_AR_h4_seed3,0,3,4,AR,13,61,0.19842658851221867,0.1232221226551502,14.048002684921318,finite
schedule0_AR_h4_seed3,0,3,4,AR,14,62,0.2009691168860943,0.13036490040475712,13.93741351790325,finite
schedule0_AR_h4_seed3,0,3,4,AR,15,63,0.21026047800921382,0.14047376742543824,13.544847051795166,finite
schedule0_AR_h4_seed3,0,3,4,AR,16,64,0.21186938420971177,0.14354572692983916,13.478635913392536,finite
schedule0_TF_h5_seed4,0,4,5,TF,1,65,0.09534548162955733,0.04250407008566507,20.413997662185615,finite
schedule0_TF_h5_seed4,0,4,5,TF,2,66,0.05758027232507375,0.02652422054440014,24.79452570927088,finite
schedule0_TF_h5_seed4,0,4,5,TF,3,67,0.09248698975498007,0.04886829821590766,20.678387112790606,finite
schedule0_TF_h5_seed4,0,4,5,TF,4,68,0.15046274808535787,0.08275033908915456,16.45142020785255,finite
schedule0_TF_h5_seed4,0,4,5,TF,5,69,0.1866757911622179,0.10358613882762786,14.57823998770996,finite
schedule0_TF_h5_seed4,0,4,5,TF,6,70,0.17063540903313804,0.0928922281080915,15.358616842967754,finite
schedule0_TF_h5_seed4,0,4,5,TF,7,71,0.16320059916800572,0.09025972182976716,15.745565022564605,finite
schedule0_TF_h5_seed4,0,4,5,TF,8,72,0.16463845993886722,0.09140349832538419,15.669374100804369,finite
schedule0_TF_h5_seed4,0,4,5,TF,9,73,0.16450931188606574,0.09286456590220382,15.676190284216167,finite
schedule0_TF_h5_seed4,0,4,5,TF,10,74,0.16258599429504472,0.09074025591292904,15.778337374390986,finite
schedule0_TF_h5_seed4,0,4,5,TF,11,75,0.15936073192177183,0.08860598906992578,15.952373685227721,finite
schedule0_TF_h5_seed4,0,4,5,TF,12,76,0.15935437499984306,0.08911485137663533,15.952720173493379,finite
schedule0_TF_h5_seed4,0,4,5,TF,13,77,0.16463972690369694,0.09191497862880027,15.669307259348566,finite
schedule0_TF_h5_seed4,0,4,5,TF,14,78,0.17326275657541682,0.09877332061941975,15.225895606893442,finite
schedule0_TF_h5_seed4,0,4,5,TF,15,79,0.1709639555696298,0.09425701913417583,15.341908850315672,finite
schedule0_TF_h5_seed4,0,4,5,TF,16,80,0.16701637376385176,0.09312421480458255,15.544818997802158,finite
schedule0_AR_h5_seed4,0,4,5,AR,1,65,0.22028630489628964,0.15125479335559078,13.140250038178463,finite
schedule0_AR_h5_seed4,0,4,5,AR,2,66,0.20867595692372048,0.14477048564785613,13.61055172562619,finite
schedule0_AR_h5_seed4,0,4,5,AR,3,67,0.20721140847696962,0.1418457297592255,13.671726744733188,finite
schedule0_AR_h5_seed4,0,4,5,AR,4,68,0.20111034843305278,0.1324556280271878,13.931311631154216,finite
schedule0_AR_h5_seed4,0,4,5,AR,5,69,0.19941970658109837,0.11984370459382869,14.004638541696652,finite
schedule0_AR_h5_seed4,0,4,5,AR,6,70,0.1824770187574366,0.10895330319121636,14.775836460346143,finite
schedule0_AR_h5_seed4,0,4,5,AR,7,71,0.174486663669736,0.10467754176514177,15.164755226930334,finite
schedule0_AR_h5_seed4,0,4,5,AR,8,72,0.17454196178958906,0.10416363230846315,15.162002940526184,finite
schedule0_AR_h5_seed4,0,4,5,AR,9,73,0.16729714517239955,0.10125804032402168,15.530229399096658,finite
schedule0_AR_h5_seed4,0,4,5,AR,10,74,0.1647189753803467,0.10191874506180436,15.665127357432056,finite
schedule0_AR_h5_seed4,0,4,5,AR,11,75,0.16351866142723387,0.10303062831403764,15.72865353378744,finite
schedule0_AR_h5_seed4,0,4,5,AR,12,76,0.1605184344947019,0.09791415032430469,15.889501690155425,finite
schedule0_AR_h5_seed4,0,4,5,AR,13,77,0.16569138260369723,0.10221025421048324,15.614001561846454,finite
schedule0_AR_h5_seed4,0,4,5,AR,14,78,0.1790434489166964,0.10944107688019263,14.940831298277955,finite
schedule0_AR_h5_seed4,0,4,5,AR,15,79,0.1810310981846687,0.11084201165315714,14.844936280528234,finite
schedule0_AR_h5_seed4,0,4,5,AR,16,80,0.18378669832803007,0.11379249806809118,14.713718482695953,finite
schedule1_G0_h1_seed5,1,5,1,G0,1,1,0.019469507850228277,0.012180627071875469,34.2129005285429,finite
schedule1_G0_h1_seed5,1,5,1,G0,2,2,0.05026136688385828,0.02069944910959028,25.975314094397334,finite
schedule1_G0_h1_seed5,1,5,1,G0,3,3,0.0892327711891805,0.03339075774024044,20.989512389415733,finite
schedule1_G0_h1_seed5,1,5,1,G0,4,4,0.09595861647487515,0.04097135494772649,20.358320445776272,finite
schedule1_G0_h1_seed5,1,5,1,G0,5,5,0.10162352901068787,0.04486844349697824,19.860114554336796,finite
schedule1_G0_h1_seed5,1,5,1,G0,6,6,0.10318566212442362,0.04854590360028747,19.7276128938744,finite
schedule1_G0_h1_seed5,1,5,1,G0,7,7,0.10414551932691508,0.05003355343204655,19.647188201018032,finite
schedule1_G0_h1_seed5,1,5,1,G0,8,8,0.10230024643905225,0.04930307472228179,19.802466401613763,finite
schedule1_G0_h1_seed5,1,5,1,G0,9,9,0.11029169430581755,0.053168771393650616,19.14914383151682,finite
schedule1_G0_h1_seed5,1,5,1,G0,10,10,0.11525020006340021,0.057467330794911696,18.76716624087382,finite
schedule1_G0_h1_seed5,1,5,1,G0,11,11,0.11569548826552521,0.057752827078952386,18.73367153480963,finite
schedule1_G0_h1_seed5,1,5,1,G0,12,12,0.11677552464531428,0.058147303470529245,18.65296345703085,finite
schedule1_G0_h1_seed5,1,5,1,G0,13,13,0.11615464616600879,0.05932344825186675,18.699268276224,finite
schedule1_G0_h1_seed5,1,5,1,G0,14,14,0.11324869030167836,0.058305254048117185,18.919336236288135,finite
schedule1_G0_h1_seed5,1,5,1,G0,15,15,0.1062898003094591,0.055286230693084804,19.470168177426878,finite
schedule1_G0_h1_seed5,1,5,1,G0,16,16,0.15091461519673285,0.06957499331832888,16.425373986206733,finite
schedule1_TF_h2_seed6,1,6,2,TF,1,17,0.11333990285986752,0.049918195067495695,18.912343278295182,finite
schedule1_TF_h2_seed6,1,6,2,TF,2,18,0.1373840674725104,0.06292386703972379,17.24127259589041,finite
schedule1_TF_h2_seed6,1,6,2,TF,3,19,0.1350219881562594,0.06239981866442671,17.391910029012465,finite
schedule1_TF_h2_seed6,1,6,2,TF,4,20,0.13825797109677945,0.06451995595625466,17.186196411524804,finite
schedule1_TF_h2_seed6,1,6,2,TF,5,21,0.147945526763544,0.0709452273912703,16.59796323004375,finite
schedule1_TF_h2_seed6,1,6,2,TF,6,22,0.15551371083701968,0.07393994432487005,16.164626309159374,finite
schedule1_TF_h2_seed6,1,6,2,TF,7,23,0.1541208404767988,0.07376498871269395,16.242772625747484,finite
schedule1_TF_h2_seed6,1,6,2,TF,8,24,0.15838836235290443,0.07652571675112085,16.00553463063629,finite
schedule1_TF_h2_seed6,1,6,2,TF,9,25,0.1581834340338776,0.07638028760842748,16.016780010241977,finite
schedule1_TF_h2_seed6,1,6,2,TF,10,26,0.15827650347989425,0.07705449289162185,16.011671047847344,finite
schedule1_TF_h2_seed6,1,6,2,TF,11,27,0.14487089485328616,0.0674483334312465,16.78037714554708,finite
schedule1_TF_h2_seed6,1,6,2,TF,12,28,0.1605515411100101,0.07474174470929995,15.8877104270058,finite
schedule1_TF_h2_seed6,1,6,2,TF,13,29,0.17018742401386291,0.08470927782935433,15.381450704438034,finite
schedule1_TF_h2_seed6,1,6,2,TF,14,30,0.16494340010629016,0.08589702828763279,15.653301144629584,finite
schedule1_TF_h2_seed6,1,6,2,TF,15,31,0.15747242746306034,0.08261933741055809,16.055909554811603,finite
schedule1_TF_h2_seed6,1,6,2,TF,16,32,0.1293099778070201,0.06961446366637129,17.767359256554084,finite
schedule1_AR_h2_seed6,1,6,2,AR,1,17,0.11983790828958646,0.06107333443742391,18.428115599403906,finite
schedule1_AR_h2_seed6,1,6,2,AR,2,18,0.15153334275829083,0.07804396578325641,16.389835926375724,finite
schedule1_AR_h2_seed6,1,6,2,AR,3,19,0.1648336412805206,0.08474623967637267,15.659082948472756,finite
schedule1_AR_h2_seed6,1,6,2,AR,4,20,0.16609220998046847,0.08576780691536356,15.59301472506403,finite
schedule1_AR_h2_seed6,1,6,2,AR,5,21,0.17430057302735164,0.09022426047264531,15.174023702182497,finite
schedule1_AR_h2_seed6,1,6,2,AR,6,22,0.17218422844557865,0.08901606239351405,15.280132622425835,finite
schedule1_AR_h2_seed6,1,6,2,AR,7,23,0.16817269762109635,0.08743367315150626,15.484890186808094,finite
schedule1_AR_h2_seed6,1,6,2,AR,8,24,0.16948117215262867,0.08831404349625889,15.417570820532333,finite
schedule1_AR_h2_seed6,1,6,2,AR,9,25,0.17141516033469228,0.08827388417817161,15.319015415054762,finite
schedule1_AR_h2_seed6,1,6,2,AR,10,26,0.16183066603609125,0.08448173055279777,15.818783569391677,finite
schedule1_AR_h2_seed6,1,6,2,AR,11,27,0.14437440417343825,0.07285606793879869,16.81019590147085,finite
schedule1_AR_h2_seed6,1,6,2,AR,12,28,0.15638828385941003,0.0791749497705941,16.115915721917414,finite
schedule1_AR_h2_seed6,1,6,2,AR,13,29,0.16205271424091605,0.08387582012451607,15.80687381037926,finite
schedule1_AR_h2_seed6,1,6,2,AR,14,30,0.15034661536892596,0.08141196337452546,16.458126887437444,finite
schedule1_AR_h2_seed6,1,6,2,AR,15,31,0.14724931500788357,0.08105103328729513,16.638934336791852,finite
schedule1_AR_h2_seed6,1,6,2,AR,16,32,0.13407939131491428,0.07523578411453258,17.452759405835337,finite
schedule1_TF_h3_seed7,1,7,3,TF,1,33,0.10167153075658959,0.044909876248633886,19.856012753972713,finite
schedule1_TF_h3_seed7,1,7,3,TF,2,34,0.147237631874359,0.06915426524057959,16.639623524611878,finite
schedule1_TF_h3_seed7,1,7,3,TF,3,35,0.17317497655348799,0.08772408005376302,15.230297249822641,finite
schedule1_TF_h3_seed7,1,7,3,TF,4,36,0.21419270018975722,0.11343912187632317,13.383906685146664,finite
schedule1_TF_h3_seed7,1,7,3,TF,5,37,0.2396711558887355,0.13391819728002474,12.407684591927815,finite
schedule1_TF_h3_seed7,1,7,3,TF,6,38,0.2543927767824929,0.13821656065949148,11.889904483746097,finite
schedule1_TF_h3_seed7,1,7,3,TF,7,39,0.25881040541954625,0.14082187432238177,11.740365338625745,finite
schedule1_TF_h3_seed7,1,7,3,TF,8,40,0.26128704081573806,0.14224527801753814,11.657642593190381,finite
schedule1_TF_h3_seed7,1,7,3,TF,9,41,0.2593982259177632,0.1422615452483882,11.720659969569276,finite
schedule1_TF_h3_seed7,1,7,3,TF,10,42,0.25522624550562195,0.1394886401785532,11.86149336295241,finite
schedule1_TF_h3_seed7,1,7,3,TF,11,43,0.25812323234347145,0.14117026257185708,11.763458101722568,finite
