mode,scheme,h,compute_dtype,input_quantization,execution_kind,weight_dtype,weight_sha256,target_jv_rms,derivative_rms,derivative_reason,error,error_reason,absolute_error_rms,absolute_error_reason
fp64_reference,centered,5.623413251903491e-05,float64,none,fp64_reference,float32,ca1d40b2eb41642f2e1a5431279c63c11a393aedb89400c2599a7eac9da5dda9,0.11119380209433122,0.11119380209513849,,3.996405894011695e-11,,4.443755660673553e-12,
fp64_reference,centered,0.0001,float64,none,fp64_reference,float32,ca1d40b2eb41642f2e1a5431279c63c11a393aedb89400c2599a7eac9da5dda9,0.11119380209433122,0.11119380209642622,,3.673248356746442e-11,,4.084424508233912e-12,
fp64_reference,centered,0.00017782794100389227,float64,none,fp64_reference,float32,ca1d40b2eb41642f2e1a5431279c63c11a393aedb89400c2599a7eac9da5dda9,0.11119380209433122,0.11119380210130098,,8.828451338911688e-11,,9.816690709783798e-12,
fp64_reference,centered,0.00031622776601683794,float64,none,fp64_reference,float32,ca1d40b2eb41642f2e1a5431279c63c11a393aedb89400c2599a7eac9da5dda9,0.11119380209433122,0.11119380211605367,,2.747886857647385e-10,,3.05547987426857e-11,
fp64_reference,centered,0.0005623413251903491,float64,none,fp64_reference,float32,ca1d40b2eb41642f2e1a5431279c63c11a393aedb89400c2599a7eac9da5dda9,0.11119380209433122,0.11119380216307813,,8.696863851141542e-10,,9.670373579051758e-11,
fp64_reference,centered,0.001,float64,none,fp64_reference,float32,ca1d40b2eb41642f2e1a5431279c63c11a393aedb89400c2599a7eac9da5dda9,0.11119380209433122,0.11119380231190103,,2.7506057915616574e-09,,3.058503160264282e-10,
fp64_reference,centered,0.0017782794100389228,float64,none,fp64_reference,float32,ca1d40b2eb41642f2e1a5431279c63c11a393aedb89400c2599a7eac9da5dda9,0.11119380209433122,0.11119380278225034,,8.697867601251707e-09,,9.671489686962776e-10,
fp64_reference,centered,0.0031622776601683794,float64,none,fp64_reference,float32,ca1d40b2eb41642f2e1a5431279c63c11a393aedb89400c2599a7eac9da5dda9,0.11119380209433122,0.11119380426975868,,2.7505275120237725e-08,,3.058416118269846e-09,
fp64_reference,centered,0.005623413251903491,float64,none,fp64_reference,float32,ca1d40b2eb41642f2e1a5431279c63c11a393aedb89400c2599a7eac9da5dda9,0.11119380209433122,0.11119380897362094,,8.697924123533919e-08,,9.671552536237398e-09,
fp64_reference,centered,0.01,float64,none,fp64_reference,float32,ca1d40b2eb41642f2e1a5431279c63c11a393aedb89400c2599a7eac9da5dda9,0.11119380209433122,0.11119382384858836,,2.750526537886429e-07,,3.058415035089496e-08,
fp64_reference,centered,0.01778279410038923,float64,none,fp64_reference,float32,ca1d40b2eb41642f2e1a5431279c63c11a393aedb89400c2599a7eac9da5dda9,0.11119380209433122,0.11119387088733752,,8.697928647971994e-07,,9.671557567132119e-08,
fp64_reference,centered,0.03162277660168379,float64,none,fp64_reference,float32,ca1d40b2eb41642f2e1a5431279c63c11a393aedb89400c2599a7eac9da5dda9,0.11119380209433122,0.11119401963705748,,2.750526515226117e-06,,3.0584150098926336e-07,
fp64_reference,centered,0.05623413251903491,float64,none,fp64_reference,float32,ca1d40b2eb41642f2e1a5431279c63c11a393aedb89400c2599a7eac9da5dda9,0.11119380209433122,0.11119449002625682,,8.697928561123973e-06,,9.6715574705625e-07,
fp64_reference,centered,0.1,float64,none,fp64_reference,float32,ca1d40b2eb41642f2e1a5431279c63c11a393aedb89400c2599a7eac9da5dda9,0.11119380209433122,0.11119597754030033,,2.750526517474188e-05,,3.058415012392349e-06,
input_quantized_bf16,one_sided,1e-07,float64,bfloat16,input_quantization_rounding_simulation,float32,ca1d40b2eb41642f2e1a5431279c63c11a393aedb89400c2599a7eac9da5dda9,0.11119380209433122,0.0,,1.0,,0.11119380209433122,
input_quantized_bf16,one_sided,1.7782794100389227e-07,float64,bfloat16,input_quantization_rounding_simulation,float32,ca1d40b2eb41642f2e1a5431279c63c11a393aedb89400c2599a7eac9da5dda9,0.11119380209433122,0.0,,1.0,,0.11119380209433122,
input_quantized_bf16,one_sided,3.162277660168379e-07,float64,bfloat16,input_quantization_rounding_simulation,float32,ca1d40b2eb41642f2e1a5431279c63c11a393aedb89400c2599a7eac9da5dda9,0.11119380209433122,0.0,,1.0,,0.11119380209433122,
input_quantized_bf16,one_sided,5.62341325190349e-07,float64,bfloat16,input_quantization_rounding_simulation,float32,ca1d40b2eb41642f2e1a5431279c63c11a393aedb89400c2599a7eac9da5dda9,0.11119380209433122,0.0,,1.0,,0.11119380209433122,
input_quantized_bf16,one_sided,1e-06,float64,bfloat16,input_quantization_rounding_simulation,float32,ca1d40b2eb41642f2e1a5431279c63c11a393aedb89400c2599a7eac9da5dda9,0.11119380209433122,0.0,,1.0,,0.11119380209433122,
input_quantized_bf16,one_sided,1.778279410038923e-06,float64,bfloat16,input_quantization_rounding_simulation,float32,ca1d40b2eb41642f2e1a5431279c63c11a393aedb89400c2599a7eac9da5dda9,0.11119380209433122,0.0,,1.0,,0.11119380209433122,
input_quantized_bf16,one_sided,3.162277660168379e-06,float64,bfloat16,input_quantization_rounding_simulation,float32,ca1d40b2eb41642f2e1a5431279c63c11a393aedb89400c2599a7eac9da5dda9,0.11119380209433122,0.0,,1.0,,0.11119380209433122,
input_quantized_bf16,one_sided,5.623413251903491e-06,float64,bfloat16,input_quantization_rounding_simulation,float32,ca1d40b2eb41642f2e1a5431279c63c11a393aedb89400c2599a7eac9da5dda9,0.11119380209433122,0.0,,1.0,,0.11119380209433122,
input_quantized_bf16,one_sided,1e-05,float64,bfloat16,input_quantization_rounding_simulation,float32,ca1d40b2eb41642f2e1a5431279c63c11a393aedb89400c2599a7eac9da5dda9,0.11119380209433122,0.09142189237692891,,1.1429103155087763,,0.12708454343425252,
input_quantized_bf16,one_sided,1.778279410038923e-05,float64,bfloat16,input_quantization_rounding_simulation,float32,ca1d40b2eb41642f2e1a5431279c63c11a393aedb89400c2599a7eac9da5dda9,0.11119380209433122,0.051410308110651684,,1.0029176119132903,,0.11151822245600569,
input_quantized_bf16,one_sided,3.1622776601683795e-05,float64,bfloat16,input_quantization_rounding_simulation,float32,ca1d40b2eb41642f2e1a5431279c63c11a393aedb89400c2599a7eac9da5dda9,0.11119380209433122,28.726041370805543,,258.1238284694862,,28.70176989866715,
input_quantized_bf16,one_sided,5.623413251903491e-05,float64,bfloat16,input_quantization_rounding_simulation,float32,ca1d40b2eb41642f2e1a5431279c63c11a393aedb89400c2599a7eac9da5dda9,0.11119380209433122,16.154774596905884,,145.06778949333662,,16.130639075184174,
input_quantized_bf16,one_sided,0.0001,float64,bfloat16,input_quantization_rounding_simulation,float32,ca1d40b2eb41642f2e1a5431279c63c11a393aedb89400c2599a7eac9da5dda9,0.11119380209433122,9.085031988763628,,81.4897685684794,,9.061157198916352,
input_quantized_bf16,one_sided,0.00017782794100389227,float64,bfloat16,input_quantization_rounding_simulation,float32,ca1d40b2eb41642f2e1a5431279c63c11a393aedb89400c2599a7eac9da5dda9,0.11119380209433122,5.109505684296259,,45.74077525120554,,5.086090710923832,
input_quantized_bf16,one_sided,0.00031622776601683794,float64,bfloat16,input_quantization_rounding_simulation,float32,ca1d40b2eb41642f2e1a5431279c63c11a393aedb89400c2599a7eac9da5dda9,0.11119380209433122,2.8892299723282147,,25.772072464782863,,2.8656947252098286,
input_quantized_bf16,one_sided,0.0005623413251903491,float64,bfloat16,input_quantization_rounding_simulation,float32,ca1d40b2eb41642f2e1a5431279c63c11a393aedb89400c2599a7eac9da5dda9,0.11119380209433122,1.794508688349789,,15.863751727862265,,1.7639508701015216,
input_quantized_bf16,one_sided,0.001,float64,bfloat16,input_quantization_rounding_simulation,float32,ca1d40b2eb41642f2e1a5431279c63c11a393aedb89400c2599a7eac9da5dda9,0.11119380209433122,1.1058025967973981,,9.64293011701092,,1.0722340630403784,
input_quantized_bf16,one_sided,0.0017782794100389228,float64,bfloat16,input_quantization_rounding_simulation,float32,ca1d40b2eb41642f2e1a5431279c63c11a393aedb89400c2599a7eac9da5dda9,0.11119380209433122,0.6332610088113605,,5.405798192391043,,0.6010912543666231,
input_quantized_bf16,one_sided,0.0031622776601683794,float64,bfloat16,input_quantization_rounding_simulation,float32,ca1d40b2eb41642f2e1a5431279c63c11a393aedb89400c2599a7eac9da5dda9,0.11119380209433122,0.3779473258031842,,3.1677648342072304,,0.35223581605622073,
